time,node_id,on_hand,backlog_external,backlog_children,pipeline_in,placed_orders
82,R3,161.0,0.0,0.0,741.0,455.0
83,Supplier,0.0,0.0,464.0,0.0,0.0
83,W1,3.0,0.0,70.0,1386.0,417.0
83,W2,124.0,0.0,0.0,1270.0,455.0
83,R1,130.0,0.0,0.0,263.0,195.0
83,R2,0.0,39.0,0.0,368.0,152.0
83,R3,153.0,0.0,0.0,893.0,311.0
84,Supplier,0.0,0.0,0.0,0.0,0.0
84,W1,607.0,0.0,347.0,1199.0,277.0
84,W2,124.0,0.0,311.0,1725.0,311.0
84,R1,0.0,85.0,0.0,263.0,410.0
84,R2,0.0,160.0,0.0,368.0,273.0
84,R3,0.0,186.0,0.0,893.0,650.0
85,Supplier,0.0,0.0,0.0,0.0,0.0
85,W1,258.0,0.0,0.0,1142.0,336.0
85,W2,3.0,0.0,0.0,1507.0,339.0
85,R1,0.0,47.0,0.0,410.0,225.0
85,R2,95.0,0.0,0.0,273.0,113.0
85,R3,0.0,66.0,0.0,1105.0,318.0
86,Supplier,0.0,0.0,0.0,0.0,0.0
86,W1,258.0,0.0,338.0,1478.0,338.0
86,W2,0.0,0.0,12.0,1543.0,318.0
86,R1,0.0,172.0,0.0,410.0,350.0
86,R2,23.0,0.0,0.0,273.0,185.0
86,R3,0.0,283.0,0.0,1411.0,229.0
87,Supplier,0.0,0.0,0.0,0.0,0.0
87,W1,356.0,0.0,185.0,1368.0,197.0
87,W2,0.0,0.0,229.0,1861.0,217.0
87,R1,133.0,0.0,0.0,350.0,105.0
87,R2,0.0,44.0,0.0,273.0,252.0
87,R3,3.0,0.0,0.0,956.0,398.0
88,Supplier,0.0,0.0,414.0,0.0,0.0
88,W1,104.0,0.0,105.0,1368.0,369.0
88,W2,40.0,0.0,0.0,1423.0,386.0
88,R1,0.0,3.0,0.0,350.0,241.0
88,R2,155.0,0.0,0.0,252.0,74.0
88,R3,0.0,196.0,0.0,1354.0,199.0
89,Supplier,0.0,0.0,0.0,0.0,0.0
89,W1,521.0,0.0,315.0,1320.0,210.0
