t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase
79,R2,29,0,0,52,29,51,EOD
80,Supplier,0,0,0,0,0,0,EOD
80,Warehouse,60,0,0,133,67,107,EOD
80,R1,51,0,0,38,31,42,EOD
80,R2,31,0,0,50,29,31,EOD
81,Supplier,0,0,0,0,0,0,EOD
81,Warehouse,70,0,0,130,60,70,EOD
81,R1,9,0,0,69,42,0,EOD
81,R2,17,0,0,58,35,21,EOD
82,Supplier,0,0,0,0,0,0,EOD
82,Warehouse,56,0,0,127,77,63,EOD
82,R1,0,27,0,111,36,0,EOD
82,R2,3,0,0,64,43,29,EOD
83,Supplier,0,0,0,0,0,0,EOD
83,Warehouse,44,0,0,137,79,67,EOD
83,R1,14,0,0,67,39,80,EOD
83,R2,0,3,0,78,35,29,EOD
84,Supplier,0,0,0,0,0,0,EOD
84,Warehouse,30,0,0,156,74,60,EOD
84,R1,35,0,0,39,46,67,EOD
84,R2,0,0,0,78,32,35,EOD
85,Supplier,0,0,0,0,0,0,EOD
85,Warehouse,29,0,0,153,78,77,EOD
85,R1,52,0,0,46,22,39,EOD
85,R2,9,0,0,67,34,43,EOD
86,Supplier,0,0,0,0,0,0,EOD
86,Warehouse,52,0,0,152,56,79,EOD
86,R1,60,0,0,22,38,46,EOD
86,R2,32,0,0,66,12,35,EOD
87,Supplier,0,0,0,0,0,0,EOD
87,Warehouse,76,0,0,134,50,74,EOD
87,R1,60,0,0,38,22,22,EOD
87,R2,35,0,0,46,29,32,EOD
88,Supplier,0,0,0,0,0,0,EOD
88,Warehouse,103,0,0,106,51,78,EOD
88,R1,37,0,0,22,61,38,EOD
88,R2,54,0,0,41,15,34,EOD
89,Supplier,0,0,0,0,0,0,EOD
89,Warehouse,83,0,0,101,76,56,EOD
89,R1,0,14,0,83,51,0,EOD
89,R2,41,0,0,44,25,12,EOD
90,Supplier,0,0,0,0,0,0,EOD
90,Warehouse,57,0,0,127,76,50,EOD
90,R1,3,0,0,73,44,61,EOD
90,R2,26,0,0,40,44,29,EOD
91,Supplier,0,0,0,0,0,0,EOD
91,Warehouse,20,0,0,152,88,51,EOD
91,R1,38,0,0,44,38,73,EOD
91,R2,0,5,0,69,46,15,EOD
92,Supplier,0,0,0,0,0,0,EOD
92,Warehouse,12,0,0,164,84,76,EOD
92,R1,28,0,0,38,54,44,EOD
92,R2,0,1,0,90,21,25,EOD
93,Supplier,0,0,0,0,0,0,EOD
93,Warehouse,13,0,0,172,75,76,EOD
93,R1,0,23,0,92,51,0,EOD
93,R2,24,0,0,67,19,44,EOD
94,Supplier,0,0,0,0,0,0,EOD
94,Warehouse,31,0,0,159,70,88,EOD
94,R1,0,7,0,89,38,54,EOD
94,R2,40,0,0,40,30,46,EOD
95,Supplier,0,0,0,0,0,0,EOD
95,Warehouse,47,0,0,145,68,84,EOD
95,R1,0,10,0,89,41,38,EOD
95,R2,29,0,0,49,32,21,EOD
96,Supplier,0,0,0,0,0,0,EOD
96,Warehouse,49,0,0,138,73,75,EOD
96,R1,0,25,0,92,53,38,EOD
96,R2,9,0,0,62,39,19,EOD
97,Supplier,0,0,0,0,0,0,EOD
97,Warehouse,27,0,0,141,92,70,EOD
97,R1,36,0,0,53,31,92,EOD
97,R2,0,7,0,71,46,30,EOD
98,Supplier,0,0,0,0,0,0,EOD
98,Warehouse,18,0,0,165,77,68,EOD
98,R1,0,4,0,84,40,0,EOD
98,R2,0,15,0,85,40,32,EOD
99,Supplier,0,0,0,0,0,0,EOD
99,Warehouse,11,0,0,169,80,73,EOD
99,R1,0,9,0,93,36,31,EOD
99,R2,1,0,0,86,23,39,EOD
100,Supplier,0,0,0,0,0,0,EOD
100,Warehouse,44,0,0,157,59,92,EOD
100,R1,28,0,0,36,56,93,EOD
100,R2,36,0,0,63,11,46,EOD
101,Supplier,0,0,0,0,0,0,EOD
101,Warehouse,54,0,0,139,67,77,EOD
101,R1,14,0,0,56,50,36,EOD
101,R2,49,0,0,34,27,40,EOD
102,Supplier,0,0,0,0,0,0,EOD
102,Warehouse,57,0,0,126,77,80,EOD
102,R1,35,0,0,50,35,56,EOD
102,R2,31,0,0,38,41,23,EOD
103,Supplier,0,0,0,0,0,0,EOD
103,Warehouse,40,0,0,144,76,59,EOD
103,R1,46,0,0,35,39,50,EOD
103,R2,0,16,0,68,58,11,EOD
104,Supplier,0,0,0,0,0,0,EOD
104,Warehouse,10,0,0,153,97,67,EOD
104,R1,16,0,0,39,65,35,EOD
104,R2,0,29,0,99,40,27,EOD
105,Supplier,0,0,0,0,0,0,EOD
105,Warehouse,0,0,18,173,105,77,EOD
105,R1,0,10,0,47,83,39,EOD
105,R2,0,31,0,98,43,41,EOD
106,Supplier,0,0,0,0,0,0,EOD
106,Warehouse,0,0,68,202,126,76,EOD
106,R1,0,1,0,33,88,47,EOD
106,R2,7,0,0,83,20,58,EOD
107,Supplier,0,0,0,0,0,0,EOD
107,Warehouse,0,0,79,231,108,97,EOD
107,R1,3,0,0,77,40,33,EOD
107,R2,24,0,0,63,23,40,EOD
108,Supplier,0,0,0,0,0,0,EOD
108,Warehouse,0,0,37,234,63,105,EOD
108,R1,30,0,0,82,8,77,EOD
108,R2,24,0,0,43,43,43,EOD
109,Supplier,0,0,0,0,0,0,EOD
109,Warehouse,38,0,0,171,51,126,EOD
109,R1,61,0,0,45,14,82,EOD
109,R2,3,0,0,66,41,20,EOD
110,Supplier,0,0,0,0,0,0,EOD
110,Warehouse,91,0,0,114,55,108,EOD
110,R1,60,0,0,14,46,45,EOD
110,R2,0,16,0,84,42,23,EOD
111,Supplier,0,0,0,0,0,0,EOD
111,Warehouse,66,0,0,106,88,63,EOD
111,R1,52,0,0,46,22,14,EOD
111,R2,0,14,0,83,41,43,EOD
112,Supplier,0,0,0,0,0,0,EOD
112,Warehouse,54,0,0,143,63,51,EOD
112,R1,17,0,0,22,81,46,EOD
112,R2,0,12,0,83,39,41,EOD
113,Supplier,0,0,0,0,0,0,EOD
113,Warehouse,0,0,11,151,120,55,EOD
113,R1,0,5,0,70,55,22,EOD
113,R2,0,2,0,80,32,42,EOD
114,Supplier,0,0,0,0,0,0,EOD
114,Warehouse,0,0,10,183,87,88,EOD
114,R1,44,0,0,56,20,70,EOD
114,R2,15,0,0,71,24,41,EOD
115,Supplier,0,0,0,0,0,0,EOD
115,Warehouse,9,0,0,207,44,63,EOD
115,R1,73,0,0,30,17,56,EOD
115,R2,10,0,0,56,44,39,EOD
116,Supplier,0,0,0,0,0,0,EOD
116,Warehouse,68,0,0,131,61,120,EOD
116,R1,57,0,0,17,46,30,EOD
116,R2,10,0,0,68,32,32,EOD
117,Supplier,0,0,0,0,0,0,EOD
117,Warehouse,77,0,0,105,78,87,EOD
117,R1,55,0,0,46,19,17,EOD
117,R2,0,3,0,76,37,24,EOD
118,Supplier,0,0,0,0,0,0,EOD
118,Warehouse,65,0,0,139,56,44,EOD
118,R1,41,0,0,19,60,46,EOD
118,R2,2,0,0,69,39,44,EOD
119,Supplier,0,0,0,0,0,0,EOD
119,Warehouse,27,0,0,134,99,61,EOD
119,R1,0,6,0,60,66,19,EOD
119,R2,0,17,0,76,51,32,EOD
