t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase
23,Supplier,0,0,0,0,0,0,after_shipments
23,Warehouse,92,0,0,32,0,0,after_shipments
23,R1,52,0,0,9,0,0,after_shipments
23,R2,39,0,0,14,0,0,after_shipments
23,Warehouse,92,0,0,32,16,0,after_ordering
23,R1,52,0,0,9,9,0,after_ordering
23,R2,39,0,0,14,7,0,after_ordering
23,Supplier,0,0,0,0,0,0,EOD
23,Warehouse,92,0,0,32,16,16,EOD
23,R1,52,0,0,9,9,9,EOD
23,R2,39,0,0,14,7,7,EOD
24,Supplier,0,0,0,0,0,0,after_arrivals
24,Warehouse,108,0,0,16,0,16,after_arrivals
24,R1,61,0,0,0,0,9,after_arrivals
24,R2,46,0,0,7,0,7,after_arrivals
24,R1,52,0,0,0,0,0,after_demand
24,R2,39,0,0,7,0,0,after_demand
24,Supplier,0,0,0,0,0,0,after_shipments
24,Warehouse,92,0,0,32,0,0,after_shipments
24,R1,52,0,0,9,0,0,after_shipments
24,R2,39,0,0,14,0,0,after_shipments
24,Warehouse,92,0,0,32,16,0,after_ordering
24,R1,52,0,0,9,9,0,after_ordering
24,R2,39,0,0,14,7,0,after_ordering
24,Supplier,0,0,0,0,0,0,EOD
24,Warehouse,92,0,0,32,16,16,EOD
24,R1,52,0,0,9,9,9,EOD
24,R2,39,0,0,14,7,7,EOD
25,Supplier,0,0,0,0,0,0,after_arrivals
25,Warehouse,108,0,0,16,0,16,after_arrivals
25,R1,61,0,0,0,0,9,after_arrivals
25,R2,46,0,0,7,0,7,after_arrivals
25,R1,52,0,0,0,0,0,after_demand
25,R2,39,0,0,7,0,0,after_demand
25,Supplier,0,0,0,0,0,0,after_shipments
25,Warehouse,92,0,0,32,0,0,after_shipments
25,R1,52,0,0,9,0,0,after_shipments
25,R2,39,0,0,14,0,0,after_shipments
25,Warehouse,92,0,0,32,16,0,after_ordering
25,R1,52,0,0,9,9,0,after_ordering
25,R2,39,0,0,14,7,0,after_ordering
25,Supplier,0,0,0,0,0,0,EOD
25,Warehouse,92,0,0,32,16,16,EOD
25,R1,52,0,0,9,9,9,EOD
25,R2,39,0,0,14,7,7,EOD
26,Supplier,0,0,0,0,0,0,after_arrivals
26,Warehouse,108,0,0,16,0,16,after_arrivals
26,R1,61,0,0,0,0,9,after_arrivals
26,R2,46,0,0,7,0,7,after_arrivals
26,R1,52,0,0,0,0,0,after_demand
26,R2,39,0,0,7,0,0,after_demand
26,Supplier,0,0,0,0,0,0,after_shipments
