t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
19,Supplier,0.0,0.0,216.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
19,W1,57.0,0.0,0.0,1260.0,203.0,417.0,EOD,0,0.0,1.1400000000000001,0.0,17.03,730.0,748.17
19,W2,113.0,0.0,182.0,1736.0,182.0,0.0,EOD,0,0.0,2.2600000000000002,0.0,16.82,0.0,19.080000000000002
19,R1,194.0,0.0,0.0,259.0,135.0,368.0,EOD,135,135.0,5.819999999999999,0.0,0.0,0.0,5.819999999999999
19,R2,151.0,0.0,0.0,253.0,77.0,297.0,EOD,77,77.0,4.53,0.0,0.0,0.0,4.53
19,R3,118.0,0.0,0.0,870.0,187.0,272.0,EOD,187,187.0,3.54,0.0,0.0,0.0,3.54
20,Supplier,0.0,0.0,182.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
20,W1,57.0,0.0,212.0,1679.0,212.0,0.0,EOD,0,0.0,1.1400000000000001,0.0,17.12,0.0,18.26
20,W2,113.0,0.0,369.0,1736.0,187.0,0.0,EOD,0,0.0,2.2600000000000002,0.0,16.87,0.0,19.130000000000003
20,R1,40.0,0.0,0.0,259.0,154.0,0.0,EOD,154,154.0,1.2,0.0,0.0,0.0,1.2
20,R2,64.0,0.0,0.0,253.0,87.0,0.0,EOD,87,87.0,1.92,0.0,0.0,0.0,1.92
20,R3,277.0,0.0,0.0,463.0,248.0,407.0,EOD,248,248.0,8.31,0.0,0.0,0.0,8.31
21,Supplier,0.0,0.0,581.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
21,W1,412.0,0.0,164.0,1035.0,241.0,644.0,EOD,0,0.0,8.24,0.0,17.41,350.0,375.65
21,W2,90.0,0.0,0.0,1142.0,248.0,594.0,EOD,0,0.0,1.8,0.0,17.48,600.0,619.28
